timestamp,dataset,model_noise_type,model_noise_level,test_noise_type,test_noise_level,noisy_mae,noisy_psnr,noisy_ssim,denosied_mae,denoised_psnr,denoised_ssim
09_03_2023_19_05_52,stdata12,mixed,0.01,gaussian,0.1,0.2511548399925232,15.559733390808105,0.2098388820886612,0.1395532786846161,21.064908981323242,0.33069315552711487
09_03_2023_19_06_10,stdata12,mixed,0.01,gaussian,0.25,0.3833411633968353,12.057230949401855,0.10596529394388199,0.1468137502670288,20.58055305480957,0.275787889957428
09_03_2023_19_06_27,stdata12,mixed,0.01,gaussian,0.5,0.5009366273880005,9.973261833190918,0.06801746040582657,0.16099201142787933,19.697389602661133,0.19600896537303925
09_03_2023_19_06_45,stdata12,mixed,0.01,mixed,0.1,0.28414517641067505,14.74528980255127,0.32621678709983826,0.08756772428750992,24.48579978942871,0.5874505043029785
09_03_2023_19_07_03,stdata12,mixed,0.01,poisson,0.1,0.05806869640946388,28.544193267822266,0.7557345032691956,0.14181888103485107,20.853464126586914,0.28954991698265076
09_03_2023_19_07_21,stdata12,poisson,0.1,poisson,0.001,0.05806869640946388,28.544193267822266,0.7557345032691956,0.05368673801422119,28.94742774963379,0.7797003984451294
09_03_2023_19_07_40,stdata12,poisson,0.1,mixed,0.01,0.28414517641067505,14.74528980255127,0.32621678709983826,0.2404300421476364,16.11374282836914,0.3917315602302551
09_03_2023_19_07_57,stdata12,poisson,0.1,gaussian,0.01,0.0797845721244812,25.48399543762207,0.6703887581825256,0.06651782244443893,27.03009033203125,0.715255618095398
09_03_2023_19_08_15,stdata12,poisson,0.1,gaussian,0.05,0.17833097279071808,18.5019474029541,0.3340950310230255,0.13967148959636688,20.547693252563477,0.4046439528465271
09_03_2023_19_08_33,stdata12,poisson,0.1,gaussian,0.1,0.2511548399925232,15.559733390808105,0.2098388820886612,0.19049355387687683,17.899282455444336,0.2727417051792145
09_03_2023_19_08_54,stdata12,lpf,0.1,lpf,0.001,0.02770206891000271,34.0246467590332,0.9290040135383606,0.03143303841352463,33.006744384765625,0.9172235131263733
09_03_2023_19_09_11,interpretation,mixed,0.01,gaussian,0.001,0.025230173021554947,33.298255920410156,0.9026797413825989,0.11561230570077896,20.37623405456543,0.2721979320049286
09_03_2023_19_10_59,interpretation,mixed,0.01,gaussian,0.01,0.07978484779596329,23.298255920410156,0.5904058218002319,0.11246257275342941,20.60288429260254,0.29886913299560547
09_03_2023_19_12_48,interpretation,mixed,0.01,gaussian,0.025,0.12615031003952026,19.3189754486084,0.4038947522640228,0.11211171746253967,20.662687301635742,0.3098471164703369
09_03_2023_19_14_35,interpretation,mixed,0.01,gaussian,0.05,0.17837592959403992,16.312015533447266,0.264632910490036,0.11276029050350189,20.656143188476562,0.3160282075405121
09_03_2023_19_16_23,interpretation,mixed,0.01,gaussian,0.1,0.251596063375473,13.349371910095215,0.15802747011184692,0.1143023744225502,20.56787872314453,0.3151593804359436
09_03_2023_19_18_52,interpretation,mixed,0.01,gaussian,0.25,0.38582679629325867,9.8076171875,0.07640548050403595,0.12120256572961807,19.99552345275879,0.25521543622016907
09_03_2023_19_21_30,interpretation,mixed,0.01,gaussian,0.5,0.5049924254417419,7.734253883361816,0.04849778860807419,0.13565407693386078,18.909542083740234,0.1731671690940857
09_03_2023_19_23_18,interpretation,mixed,0.01,mixed,0.1,0.26728230714797974,12.967122077941895,0.2599668800830841,0.07250680774450302,23.96178436279297,0.5703299641609192
09_03_2023_19_25_05,interpretation,mixed,0.01,poisson,0.1,0.05806872993707657,26.358488082885742,0.6853665113449097,0.11470285803079605,20.433624267578125,0.27781450748443604
